                   0 a=    x, b=    x, cin=x, s=    z,co=z
                   0 a=    x, b=    x, cin=x, s=    x,co=x
                  70 a=13604, b=24193, cin=1, s=    x,co=x
                  71 a=13604, b=24193, cin=1, s=    X,co=x
                  73 a=13604, b=24193, cin=1, s=    X,co=0
                  74 a=13604, b=24193, cin=1, s=    X,co=0
                  76 a=13604, b=24193, cin=1, s=37798,co=0
                 140 a=22115, b=31501, cin=1, s=37798,co=0
                 141 a=22115, b=31501, cin=1, s=54637,co=0
                 143 a=22115, b=31501, cin=1, s=55661,co=0
                 144 a=22115, b=31501, cin=1, s=53617,co=0
                 210 a=33893, b=21010, cin=1, s=53617,co=0
                 211 a=33893, b=21010, cin=1, s=10856,co=0
                 213 a=33893, b=21010, cin=1, s=36458,co=0
                 214 a=33893, b=21010, cin=1, s=63128,co=0
                 216 a=33893, b=21010, cin=1, s=54904,co=0
                 280 a=52493, b=61814, cin=1, s=54904,co=0
                 281 a=52493, b=61814, cin=1, s=15476,co=0
                 282 a=52493, b=61814, cin=1, s=15476,co=1
                 283 a=52493, b=61814, cin=1, s=48756,co=1
                 284 a=52493, b=61814, cin=1, s=48740,co=1
                 286 a=52493, b=61814, cin=1, s=48772,co=1
                 350 a=22509, b=63372, cin=1, s=48772,co=1
                 351 a=22509, b=63372, cin=1, s= 8862,co=1
                 352 a=22509, b=63372, cin=1, s= 8862,co=0
                 353 a=22509, b=63372, cin=1, s= 3998,co=1
                 354 a=22509, b=63372, cin=1, s=20346,co=1
                 420 a= 9414, b=33989, cin=0, s=20346,co=1
                 421 a= 9414, b=33989, cin=0, s=20249,co=1
                 423 a= 9414, b=33989, cin=0, s=59787,co=0
                 424 a= 9414, b=33989, cin=0, s=43403,co=0
                 490 a=63461, b=29303, cin=0, s=43403,co=0
                 491 a=63461, b=29303, cin=0, s=35866,co=0
                 493 a=63461, b=29303, cin=0, s=24920,co=1
                 494 a=63461, b=29303, cin=0, s=27228,co=1
                 495 a=63461, b=29303, cin=0, s=26716,co=1
                 496 a=63461, b=29303, cin=0, s=27228,co=1
                 560 a=56207, b=27122, cin=0, s=27228,co=1
                 561 a=56207, b=27122, cin=0, s=23987,co=1
                 563 a=56207, b=27122, cin=0, s=10617,co=1
                 564 a=56207, b=27122, cin=0, s= 9569,co=1
                 565 a=56207, b=27122, cin=0, s=17761,co=1
                 566 a=56207, b=27122, cin=0, s=17793,co=1
                 630 a=31464, b=20165, cin=0, s=17793,co=1
                 631 a=31464, b=20165, cin=0, s=50129,co=1
                 633 a=31464, b=20165, cin=0, s=49621,co=0
                 634 a=31464, b=20165, cin=0, s=51629,co=0
                 700 a=10429, b=22573, cin=1, s=51629,co=0
                 701 a=10429, b=22573, cin=1, s=36113,co=0
                 703 a=10429, b=22573, cin=1, s= 2251,co=0
                 704 a=10429, b=22573, cin=1, s=32971,co=0
                 705 a=10429, b=22573, cin=1, s=33003,co=0
                 770 a=25187, b=34570, cin=0, s=33003,co=0
                 771 a=25187, b=34570, cin=0, s= 5395,co=0
                 773 a=25187, b=34570, cin=0, s=  333,co=0
                 774 a=25187, b=34570, cin=0, s=59757,co=0
                 840 a= 8480, b=17834, cin=1, s=59757,co=0
                 841 a= 8480, b=17834, cin=1, s=26767,co=0
                 843 a= 8480, b=17834, cin=1, s=28361,co=0
                 844 a= 8480, b=17834, cin=1, s=26315,co=0
                 910 a=16022, b=47123, cin=1, s=26315,co=0
                 911 a=16022, b=47123, cin=1, s=33988,co=0
                 913 a=16022, b=47123, cin=1, s=63136,co=0
                 914 a=16022, b=47123, cin=1, s=63146,co=0
                 980 a=54867, b=56683, cin=1, s=63146,co=0
                 981 a=54867, b=56683, cin=1, s=31511,co=0
                 982 a=54867, b=56683, cin=1, s=31511,co=1
                 983 a=54867, b=56683, cin=1, s=41911,co=1
                 984 a=54867, b=56683, cin=1, s=46015,co=1
                1050 a=18946, b=16046, cin=1, s=46015,co=1
                1051 a=18946, b=16046, cin=1, s=52267,co=1
                1052 a=18946, b=16046, cin=1, s=52267,co=0
                1053 a=18946, b=16046, cin=1, s=24745,co=0
                1054 a=18946, b=16046, cin=1, s=34993,co=0
